HDR,ROLLING SYSTEM DEMAND
VD,20210901000000,22640
VD,20210901000500,22558
VD,20210901001000,22443
VD,20210901001500,22466
VD,20210901002000,22413
VD,20210901002500,22278
VD,20210901003000,22189
VD,20210901003500,22282
VD,20210901004000,22267
VD,20210901004500,22242
VD,20210901005000,22209
VD,20210901005500,22095
VD,20210901010000,22017
VD,20210901010500,22006
VD,20210901011000,21939
VD,20210901011500,21900
VD,20210901012000,21931
VD,20210901012500,21888
VD,20210901013000,21838
VD,20210901013500,21810
VD,20210901014000,21788
VD,20210901014500,21768
VD,20210901015000,21661
VD,20210901015500,21576
VD,20210901020000,21574
VD,20210901020500,21618
VD,20210901021000,21622
VD,20210901021500,21589
VD,20210901022000,21583
VD,20210901022500,21509
VD,20210901023000,21525
VD,20210901023500,21530
VD,20210901024000,21512
VD,20210901024500,21530
VD,20210901025000,21550
VD,20210901025500,21619
VD,20210901030000,21646
VD,20210901030500,21680
VD,20210901031000,21689
VD,20210901031500,21628
VD,20210901032000,21573
VD,20210901032500,21640
VD,20210901033000,21647
VD,20210901033500,21468
VD,20210901034000,21514
VD,20210901034500,21586
VD,20210901035000,21640
VD,20210901035500,21707
VD,20210901040000,21880
VD,20210901040500,22057
VD,20210901041000,22266
VD,20210901041500,22343
VD,20210901042000,22446
VD,20210901042500,22367
VD,20210901043000,22482
VD,20210901043500,22685
VD,20210901044000,22787
VD,20210901044500,22820
VD,20210901045000,22935
VD,20210901045500,23035
VD,20210901050000,23019
VD,20210901050500,23022
VD,20210901051000,23038
VD,20210901051500,23135
VD,20210901052000,23344
VD,20210901052500,23635
VD,20210901053000,23877
VD,20210901053500,24278
VD,20210901054000,24529
VD,20210901054500,24970
VD,20210901055000,25308
VD,20210901055500,25698
VD,20210901060000,26120
VD,20210901060500,26695
VD,20210901061000,27288
VD,20210901061500,27672
VD,20210901062000,27946
VD,20210901062500,28257
VD,20210901063000,28472
VD,20210901063500,28766
VD,20210901064000,29108
VD,20210901064500,29394
VD,20210901065000,29564
VD,20210901065500,29760
VD,20210901070000,30042
VD,20210901070500,30452
VD,20210901071000,30837
VD,20210901071500,31026
VD,20210901072000,31171
VD,20210901072500,31303
VD,20210901073000,31437
VD,20210901073500,31406
VD,20210901074000,31469
VD,20210901074500,31588
VD,20210901075000,31659
VD,20210901075500,31653
VD,20210901080000,31716
VD,20210901080500,31802
VD,20210901081000,31943
VD,20210901081500,31911
VD,20210901082000,31908
VD,20210901082500,31843
VD,20210901083000,31814
VD,20210901083500,31810
VD,20210901084000,31615
VD,20210901084500,31580
VD,20210901085000,31634
VD,20210901085500,31731
VD,20210901090000,31699
VD,20210901090500,31648
VD,20210901091000,31444
VD,20210901091500,31364
VD,20210901092000,31598
VD,20210901092500,31739
VD,20210901093000,31709
VD,20210901093500,31553
VD,20210901094000,31537
VD,20210901094500,31462
VD,20210901095000,31461
VD,20210901095500,31488
VD,20210901100000,31417
VD,20210901100500,31523
VD,20210901101000,31527
VD,20210901101500,31584
VD,20210901102000,31605
VD,20210901102500,31554
VD,20210901103000,31590
VD,20210901103500,31397
VD,20210901104000,31344
VD,20210901104500,31327
VD,20210901105000,31427
VD,20210901105500,31398
VD,20210901110000,31538
VD,20210901110500,31469
VD,20210901111000,31511
VD,20210901111500,31475
VD,20210901112000,31511
VD,20210901112500,31519
VD,20210901113000,31554
VD,20210901113500,31695
VD,20210901114000,31695
VD,20210901114500,31741
VD,20210901115000,31740
VD,20210901115500,31649
VD,20210901120000,31632
VD,20210901120500,31637
VD,20210901121000,31693
VD,20210901121500,31712
VD,20210901122000,31685
VD,20210901122500,31688
VD,20210901123000,31616
VD,20210901123500,31641
VD,20210901124000,31608
VD,20210901124500,31560
VD,20210901125000,31479
VD,20210901125500,31420
VD,20210901130000,31390
VD,20210901130500,31382
VD,20210901131000,31384
VD,20210901131500,31417
VD,20210901132000,31488
VD,20210901132500,31423
VD,20210901133000,31332
VD,20210901133500,31421
VD,20210901134000,31511
VD,20210901134500,31528
