HDR,ROLLING SYSTEM DEMAND
20210901000000,22640.0
20210901000500,22558.0
20210901001000,22443.0
20210901001500,22466.0
20210901002000,22413.0
20210901002500,22278.0
20210901003000,22189.0
20210901003500,22282.0
20210901004000,22267.0
20210901004500,22242.0
20210901005000,22209.0
20210901005500,22095.0
20210901010000,22017.0
20210901010500,22006.0
20210901011000,21939.0
20210901011500,21900.0
20210901012000,21931.0
20210901012500,21888.0
20210901013000,21838.0
20210901013500,21810.0
20210901014000,21788.0
20210901014500,21768.0
20210901015000,21661.0
20210901015500,21576.0
20210901020000,21574.0
20210901020500,21618.0
20210901021000,21622.0
20210901021500,21589.0
20210901022000,21583.0
20210901022500,21509.0
20210901023000,21525.0
20210901023500,21530.0
20210901024000,21512.0
20210901024500,21530.0
20210901025000,21550.0
20210901025500,21619.0
20210901030000,21646.0
20210901030500,21680.0
20210901031000,21689.0
20210901031500,21628.0
20210901032000,21573.0
20210901032500,21640.0
20210901033000,21647.0
20210901033500,21468.0
20210901034000,21514.0
20210901034500,21586.0
20210901035000,21640.0
20210901035500,21707.0
20210901040000,21880.0
20210901040500,22057.0
20210901041000,22266.0
20210901041500,22343.0
20210901042000,22446.0
20210901042500,22367.0
20210901043000,22482.0
20210901043500,22685.0
20210901044000,22787.0
20210901044500,22820.0
20210901045000,22935.0
20210901045500,23035.0
20210901050000,23019.0
20210901050500,23022.0
20210901051000,23038.0
20210901051500,23135.0
20210901052000,23344.0
20210901052500,23635.0
20210901053000,23877.0
20210901053500,24278.0
20210901054000,24529.0
20210901054500,24970.0
20210901055000,25308.0
20210901055500,25698.0
20210901060000,26120.0
20210901060500,26695.0
20210901061000,27288.0
20210901061500,27672.0
20210901062000,27946.0
20210901062500,28257.0
20210901063000,28472.0
20210901063500,28766.0
20210901064000,29108.0
20210901064500,29394.0
20210901065000,29564.0
20210901065500,29760.0
20210901070000,30042.0
20210901070500,30452.0
20210901071000,30837.0
20210901071500,31026.0
20210901072000,31171.0
20210901072500,31303.0
20210901073000,31437.0
20210901073500,31406.0
20210901074000,31469.0
20210901074500,31588.0
20210901075000,31659.0
